model,mode,param,stretch,I1,I2,I3,J,W,P11,P22,P33,sigma11,sigma22,sigma33
neo_hookean,uniaxial,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neo_hookean,uniaxial,1.1578947368421053,1.1578947368421053,3.067992948879376,3.061657242279253,1.0000000000000004,1.0000000000000002,0.05099471165953151,0.44138755980863176,-0.22010219462000927,-0.22010219462000927,0.5110803324099946,-0.20454545454543216,-0.20454545454543216
neo_hookean,uniaxial,1.3157894736842106,1.3157894736842106,3.2513019390581723,3.2091789473684225,1.0000000000000004,1.0000000000000002,0.18847645429362891,0.8336842105263331,-0.4129483209669855,-0.4129483209669855,1.0969529085872802,-0.3599999999999776,-0.3599999999999776
neo_hookean,uniaxial,1.4736842105263157,1.4736842105263157,3.528888009497428,3.407827604726102,1.0000000000000002,1.0,0.396666007123071,1.1926691729323458,-0.5852992294287538,-0.5852992294287538,1.757617728531878,-0.4821428571428348,-0.4821428571428348
neo_hookean,uniaxial,1.631578947368421,1.631578947368421,3.8878563131087476,3.6388082589407946,0.9999999999999999,0.9999999999999999,0.6658922348315608,1.5280135823429537,-0.7416770790872962,-0.7416770790872962,2.493074792243767,-0.5806451612903226,-0.5806451612903226
neo_hookean,uniaxial,1.7894736842105263,1.7894736842105263,4.319863125305524,3.891231105445274,1.0000000000000002,1.0,0.989897343979143,1.8459752321981424,-0.8852506597852129,-0.8852506597852129,3.3033240997229916,-0.6617647058823529,-0.6617647058823529
neo_hookean,uniaxial,1.9473684210526314,1.9473684210526314,4.819270794340046,4.1584329706662535,1.0000000000000002,1.0,1.3644530957550343,2.150782361308677,-1.018324286646364,-1.018324286646364,4.188365650969529,-0.7297297297297296,-0.7297297297297296
neo_hookean,uniaxial,2.1052631578947367,2.1052631578947367,5.382132963988919,4.436151315789473,1.0000000000000002,1.0,1.7865997229916895,2.445394736842105,-1.142625093923268,-1.142625093923268,5.148199445983378,-0.7874999999999999,-0.7874999999999999
neo_hookean,uniaxial,2.263157894736842,2.263157894736842,6.005604586742253,4.721556460106456,1.0,1.0,2.2542034400566897,2.731946144430839,-1.259480571374392,-1.259480571374392,6.18282548476453,-0.8372093023255925,-0.8372093023255925
neo_hookean,uniaxial,2.4210526315789473,2.4210526315789473,6.687582801397085,5.012710178091723,0.9999999999999996,0.9999999999999998,2.765687101047814,3.0120137299771073,-1.3699329352708054,-1.3699329352708054,7.292243767312998,-0.8804347826087184,-0.8804347826087184
neo_hookean,uniaxial,2.5789473684210527,2.5789473684210527,7.426479733167505,5.308248756000786,1.0,1.0,3.319859799875629,3.286788399570354,-1.47481543202504,-1.47481543202504,8.476454293628809,-0.9183673469387755,-0.9183673469387755
neo_hookean,uniaxial,2.7368421052631575,2.7368421052631575,8.221073939910502,5.607190127686071,1.0,1.0,3.9158054549328765,3.5571862348178134,-1.5748047883650498,-1.5748047883650498,9.735457063711909,-0.9519230769230769,-0.9519230769230769
neo_hookean,uniaxial,2.894736842105263,2.894736842105263,9.070410475950641,5.908812527185731,1.0,1.0,4.552807856962981,3.8239234449760695,-1.670458207202352,-1.670458207202352,11.069252077562306,-0.9818181818182041,-0.9818181818182041
neo_hookean,uniaxial,3.052631578947368,3.052631578947368,9.973731970579806,6.212575880843602,1.0,1.0,5.230298977934854,4.087568058076219,-1.7622400569017147,-1.7622400569017147,12.477839335180034,-1.0086206896551948,-1.0086206896551948
neo_hookean,uniaxial,3.2105263157894735,3.2105263157894735,10.93043004404886,6.518069562511485,0.9999999999999996,0.9999999999999998,5.947822533036645,4.348576358930106,-1.8505415106550873,-1.8505415106550873,13.96121883656508,-1.0327868852459243,-1.0327868852459243
neo_hookean,uniaxial,3.3684210526315788,3.3684210526315788,11.940010387811633,6.824976870888165,0.9999999999999991,0.9999999999999996,6.705007790858726,4.607319078947355,-1.9356952545329467,-1.9356952545329467,15.519390581717412,-1.0546875000000449,-1.0546875000000449
neo_hookean,uniaxial,3.526315789473684,3.526315789473684,13.002067226195889,7.13305038046218,0.9999999999999991,0.9999999999999996,7.501550419646918,4.864100549882162,-2.0179866768164,-2.0179866768164,17.152354570637105,-1.0746268656716647,-1.0746268656716647
neo_hookean,uniaxial,3.6842105263157894,3.6842105263157894,14.11626434507321,7.44209452201936,1.0,1.0,8.337198258804907,5.119172932330826,-2.0976625014345873,-2.0976625014345873,18.860110803324094,-1.0928571428571427,-1.0928571428571427
neo_hookean,uniaxial,3.8421052631578947,3.8421052631578947,15.282320798391074,7.751953067130202,1.0000000000000004,1.0000000000000002,9.211740598793305,5.372746935832738,-2.1749375348412276,-2.1749375348412276,20.64265927977841,-1.109589041095868,-1.109589041095868
neo_hookean,uniaxial,4.0,4.0,16.5,8.0625,1.0,1.0,10.125,5.625,-2.25,-2.25,22.5,-1.125,-1.125
neo_hookean,biaxial,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neo_hookean,biaxial,1.1052631578947367,1.1052631578947367,3.113309604007347,3.129511011541865,1.0,1.0,0.08498220300551018,0.3007518796992678,0.3007518796992678,-0.604518815836556,0.3324099722991907,0.3324099722991907,-0.4948555385872943
neo_hookean,biaxial,1.2105263157894737,1.2105263157894737,3.3964445144309834,3.512160165688883,0.9999999999999998,0.9999999999999999,0.2973333858232377,0.5766590389016019,0.5766590389016019,-1.1744314522252304,0.698060941828255,0.698060941828255,-0.8014551120100345
neo_hookean,biaxial,1.3157894736842106,1.3157894736842106,3.796225638116344,4.152606404186585,1.0000000000000002,1.0,0.597169228587258,0.8336842105263161,0.8336842105263161,-1.7305529085872582,1.0969529085872582,1.0969529085872582,-0.9995673600000001
neo_hookean,biaxial,1.4210526315789473,1.4210526315789473,4.284003116577397,5.068336126741767,1.0,1.0,0.9630023374330476,1.0760233918128577,1.0760233918128577,-2.2862875186667346,1.5290858725761662,1.5290858725761662,-1.1321670702862705
neo_hookean,biaxial,1.526315789473684,1.526315789473684,4.843536106500568,6.285723796927264,0.9999999999999998,0.9999999999999999,1.382652079875426,1.3067150635208638,1.3067150635208638,-2.850583496101817,1.9944598337950028,1.9944598337950028,-1.2236155078391868
neo_hookean,biaxial,1.631578947368421,1.631578947368421,5.465212919118253,7.837810193497955,1.0,1.0,1.8489096893386896,1.5280135823429537,1.5280135823429537,-3.429599245937836,2.4930747922437666,2.4930747922437666,-1.288330205810155
neo_hookean,biaxial,1.736842105263158,1.736842105263158,6.143131116386252,9.762992804748441,1.0,1.0,2.357348337289689,1.7416267942583732,1.7416267942583732,-4.027685568859078,3.0249307479224377,3.0249307479224377,-1.3351648212654976
neo_hookean,biaxial,1.8421052631578947,1.8421052631578947,6.8735480825740884,12.104224197425223,1.0,1.0,2.905161061930566,1.9488721804511273,1.9488721804511273,-4.647986884504493,3.590027700831024,3.590027700831024,-1.3697332778009161
neo_hookean,biaxial,1.9473684210526314,1.9473684210526314,7.654023182844094,14.908505047846425,1.0,1.0,3.4905173871330706,2.150782361308666,2.150782361308666,-5.292821458128123,4.188365650969507,4.188365650969507,-1.3956965276729383
neo_hookean,biaxial,2.052631578947368,2.052631578947368,8.482924902211924,18.226554250372942,1.0,1.0,4.112193676658943,2.348178137651821,2.348178137651821,-5.963928819245246,4.819944598337948,4.819944598337948,-1.4155018433580109
neo_hookean,biaxial,2.1578947368421053,2.1578947368421053,9.359138294480527,22.112588788619743,1.0,1.0,4.769353720860395,2.541720154043646,2.541720154043646,-6.662634858224807,5.484764542936289,5.484764542936289,-1.4308216441517878
neo_hookean,biaxial,2.263157894736842,2.263157894736842,10.281886232488526,26.624173532086676,0.9999999999999996,0.9999999999999998,5.461414674366395,2.7319461444308444,2.7319461444308444,-7.389964478815381,6.182825484764544,6.182825484764544,-1.442821620796297
neo_hookean,biaxial,2.3684210526315788,2.3684210526315788,11.25061733022422,31.822116678465648,1.0,1.0,6.187962997668165,2.9192982456140353,2.9192982456140353,-8.146720016415307,6.914127423822714,6.914127423822714,-1.4523288523090994
neo_hookean,biaxial,2.473684210526316,2.473684210526316,12.264934015562588,37.77039565037667,1.0,1.0,6.948700511671941,3.10414333706607,3.10414333706607,-8.933536815520492,7.678670360110805,7.678670360110805,-1.4599396968777263
